--->Extraindo texto do arquivo mes_bg13_01_us.u16
Você está saindo desta cidade? #Y||Leave this town? #Y,¿Te marchas de esta ciudad? #Y||
Os Mestres da Espada também descansam.||The Blademasters also rest.,Los Maestros de espada también descansan.||
Ninguém sabe de onde veio Lady Zola.||No one knows where Lady Zola came from.,Nadie sabe de dónde ha salido Zola.||
"Não diga, mas há uma arma secreta escondida aqui."||"Don't tell, but there's a secret weapon hidden here.","No lo comentes, pero aquí se esconde un arma secreta."||
O cara ao meu lado é um pouco estranho. É melhor ignorá-lo.||The guy next to me is a little strange. It's better to ignore him.,El que está a mi lado es un poco rarito. No hay que hacerle caso.||
Relinchar!||Neigh!,¡Hiii hiii!||
Eu sou o chefe de cozinha do rei. Todos aqui são meus assistentes.||I am the king's chief chef. Everyone here is my assistant.,Soy el gran chef real y todos estos trabajan para mí.||
"Ei! Posso ajudá-lo? Você precisa de algo da cozinha, senhor?"||"Hey! Can I help you? Do you need something from the kitchen, sir?",¡Oye! ¿Puedo ayudarte? ¿Necesitas algo de la cocina?||
Eu apenas cheirei algo realmente delicioso.||I just smelled something really delicious.,Es que huele que alimenta.||
Ho ho ho... Você terá a chance de um dia provar meus pratos.||Ho ho ho... You will have the chance someday to taste my dishes.,"Ja, ja, ja... Un día de estos, te dejaré probar mis platos."||
É algo que você pode esperar.||It's something you can look forward to.,"Por ahora, te vas a quedar con las ganas."||
Eu sou o primeiro assistente do chefe de cozinha. Eu posso cozinhar tão perfeitamente quanto o meu mestre.||I am the chief chef's first assistant. I can cook as perfectly as my master.,Soy el primer pinche del gran chef y cocino igual de bien que mi maestro.||
Eu sou o segundo assistente do chefe de cozinha. Eventualmente todos nós parecemos se assemelhar a ele.||I am the chief chef's second assistant. We all seem to resemble him eventually.,"Soy el segundo pinche del gran chef. Al final, todos acabamos pareciéndonos a él."||
Eu sou apenas um assistente aqui. Mas vou me acabar parecendo o grande chefe.||I'm just an assistant here. But even I ended up looking like the chief chef.,"Aunque soy un mero pinche, hasta yo he acabado pareciéndome al gran chef."||
"Quanto mais eles trabalham aqui, mais se parecem com ele. Eu tento evitar o máximo possível."||"The longer they work here, the more they resemble him. I try to avoid here as much as possible.","Cuanto más trabajan aquí, más se parecen a él. Si puedo evitarlo, prefiero no venir."||
"Se você tem um pedido, veja o ministro sênior. Ele deve estar em algum lugar neste andar."||"If you have a request, see the senior minister. He should be somewhere on this floor.","Si quieres solicitar algo, habla con el gran ministro, que está por esta planta."||
Hm Eu pensei que eu tinha dito para não deixar ninguém entrar. O que você quer aqui?||Hm? I thought I told them to keep people out. What do you need here?,¿Cómo? Les dije que no entrara nadie. ¿Qué quieres?||
Hum ...||Umm...,Mmm...||
"Sim, sim, consulte o ministro sênior para pedidos. Ele deve estar em algum lugar neste andar."||"Yes, yes, see the senior minister for requests. He should be somewhere on this floor.","Sí, sí, que hables con el gran ministro. Está en esta planta."||
Leve suas questões triviais para o ministro sênior. Eu estou muito ocupado.||Take your trivial questions to the senior minister. I am very busy.,"Esas cuestiones triviales, al gran ministro, que yo tengo mucho trabajo."||
"Oh querida, agora crianças? Estou ocupado. Por favor, esteja a caminho."||"Oh dear, now children? I am busy. Please be on your way.","Madre mía. Y ahora ¿unos niños? Marchaos, que tengo mucho trabajo."||
Nosso chefe da aldeia estava te implorando! Por favor pense em Talta!||Our village chief was begging you back there! Please think of Talta!,¡El jefe de la aldea te lo pidió de rodillas! ¡Piensa en Talta!||
Basta! Estou ocupado. Leve essa conversa para o ministro sênior.||Enough! I am busy. Bring that talk to the senior minister.,"¡Ya basta! Tengo mucho trabajo, así que hablad con el gran ministro."||
A sala do trono é um andar acima. Esses soldados vão te guiar.||The throne room is one floor up. Those soldiers will guide you.,El salón del trono está en la siguiente planta. Los soldados te mostrarán el camino.||
Você é de Talta? As pessoas de Talta estão no castelo agora.||Are you from Talta? People from Talta are in the castle now.,¿Sois de Talta? Hay varios paisanos vuestros visitando el castillo.||
Este é o quarto de hóspedes. Alguns outros de Talta estão aqui agora.||This is the guest quarters. Some others from Talta are here now.,Los aposentos de invitados. Han venido unos cuantos de Talta.||
Apenas pessoas selecionadas podem entrar no Castelo de Jibral.||Only select persons can enter Jibral Castle.,Sólo unos pocos afortunados entran en el castillo Yibral.||
O Castelo de Jibral é enorme. Tenha cuidado para não se perder.||Jibral Castle is huge. Be careful not to get lost.,El castillo Yibral es inmenso. No os perdáis.||
Atualmente estamos discutindo uma estratégia importante.||We're currently discussing important strategy.,Estamos planteando una importante estrategia.||
Eu não posso dizer o que é.||I cannot say what it is.,No puedo desvelar cuál.||
Há muitas pessoas no grande salão hoje.||There are a lot of people in the grand hall today.,Hoy el salón regio está de bote en bote.||
Eu me pergunto se vamos conseguir um aumento.||I wonder if we'll get a raise.,¿Nos subirán el sueldo?||
Tem havido muitos monstros ultimamente.||There have been a lot of monsters lately.,"Últimamente, hay monstruos por todos lados."||
"Se você está indo para o andar de cima, cuidado com seus modos pelo caminho."||"If you're going upstairs, mind your manners as you go.","Si vas a subir, cuida tus modales por el camino."||
Não é um belo jardim?||Isn't it a beautiful garden?,¿A que es un jardín precioso?||
Não é um belo jardim?||Isn't it a beautiful garden?,¿A que es un jardín precioso?||
Este é o quarto de Lady Zola... Mas ela está falando com o rei agora.||This is Lady Zola's room... But she is talking to the king now.,Es el cuarto de Zola... pero ahora está reunida con el rey.||
Este é o quartel do ministro Jonveeno. Por favor seja educado.||This is Minister Jonveeno's quarters. Please be polite.,"Hay que comportarse, que estamos en el gabinete del ministro Yonvino."||
O jardim central está à frente.||The central garden is ahead.,El jardín central está más adelante.||
O jardim central está à frente.||The central garden is ahead.,El jardín central está más adelante.||
Este é o quartel do ministro. Por favor seja educado.||This is the senior minister's quarters. Please be polite.,"Hay que comportarse, que estamos en el gabinete del gran ministro."||
Este é o quarto de espera dos Mestres da Espada.||This is the Blademasters' waiting quarters.,Esta es la antesala para los Maestros de espada.||
"Você não está aqui procurando problemas, certo?"||"You're not here for trouble, right?","No buscáis problemas, ¿a que no?"||
Além desta porta é a sala do trono.||Beyond this door is the throne room.,"Detrás de esta puerta, está el salón del trono."||
Além desta porta é a sala do trono.||Beyond this door is the throne room.,"Detrás de esta puerta, está el salón del trono."||
Esta é a sala do trono.||This is the throne room.,Este es el salón del trono.||
Esta é a sala do trono.||This is the throne room.,Este es el salón del trono.||
Eles estão fazendo pesquisas secretas. Pessoas não autorizadas não são permitidas.||They are doing top-secret research ahead. Unauthorized persons are not allowed.,Ahí dentro llevan a cabo una investigación secreta. Se prohíbe el paso a personas no autorizadas.||
Não é magnífico! Este é o cavalo do rei.||Isn't it magnificent! This is the king's horse.,¿A que es una maravilla? El corcel del rey.||
"Se você estiver indo para o andar de cima, use a escada principal à sua frente."||"If you're going upstairs, use the main staircase ahead of you.","Si vas a subir, ve por la escalera principal que tienes delante."||
Eu realizei o meu sonho ao me tornar um soldado de Jibral.||I've fulfilled my dream of becoming a Jibral soldier.,Por fin he cumplido mi sueño de ser soldado de Yibral.||
Você pode ir até o Grande Salão por esta porta.||You can go down to the Great Hall through this door.,"Por esta puerta, se llega al salón regio."||
Você pode ir até o Grande Salão por esta porta.||You can go down to the Great Hall through this door.,"Por esta puerta, se llega al salón regio."||
Meus antepassados também trabalharam para Jibral.||My ancestors also worked for Jibral.,Mis antepasados también trabajaban para Yibral.||
Este é o quarto do rei.||This is the king's quarters.,Los aposentos reales.||
Por esta porta ocê pode chegar ao laboratório do porão.||You can get to the basement lab through this door.,Esta puerta da al laboratorio del sótano.||
Este é a sala de espera dos soldados.||This is the soldiers' waiting quarters.,Esta es la antesala para los soldados.||
O laboratório está à frente. Você deve ficar quieto.||The lab is ahead. You must be quiet.,El laboratorio está ahí delante. Silencio.||
"Há coisas interessantes no laboratório do porão. Vou lhe conceder acesso, então vá e dê uma olhada."||"There are interesting things in the basement lab. I'll grant you access, so go and have a look.","En el laboratorio del sótano hay cosas muy interesantes. Echad un vistazo, que os permito el acceso."||
Zola disse que ela estaria visitando o laboratório também.||Zola said she would be visiting the lab too.,Zola dijo que también visitaría el laboratorio.||
O tempo da batalha está se aproximando... Preciso ver o que está acontecendo no laboratório.||The time for battle is closing in... I must see what's happening in the lab.,Falta poco para la batalla... Debo comprobar qué ocurre en el laboratorio.||
Eu estou indo para o laboratório do porão. Eu vou avisá-los de que você virá.||I am going to the basement lab. I will let them know you will be coming.,Voy al laboratorio del sótano a decirles que vais a ir.||
Os Mestres da Espada são os guardas do rei.||The Blademasters are the king's guardsmen.,Los Maestros de espada protegen al rey.||
Nosso atual líder é Lady Zola. Ela é uma capitã fabulosa.||Our current leader is Lady Zola. She's a fabulous female captain.,"Nuestra líder es la capitán Zola, una mujer de armas tomar."||
Os Mestres da Espada também descansam.||The Blademasters also rest.,Los Maestros de espada también descansan.||
"Você viu o porão? Se você ainda não viu, deve dar uma olhada."||"Have you seen the basement? If you have not seen it yet, you should go take a look.","¿Habéis visto el sótano? Si no lo habéis visto, deberíais echar un vistazo."||
"Não comente, mas há uma arma secreta escondida aqui."||"Don't tell, but there's a secret weapon hidden here.","No lo comentes, pero aquí se esconde un arma secreta."||
O cara ao meu lado é um pouco estranho. É melhor ignorá-lo.||The guy next to me is a little strange. It's better to ignore him.,El que está a mi lado es un poco rarito. No hay que hacerle caso.||
Relinchar!||Neigh!,¡Hiii hiii!||
Os Gorgos deve lutar bravamente pelo rei Jibral!||The Gorgos shall fight bravely for King Jibral!,¡Los golgo darán la vida por el rey Yibral!||
Jibral não pode fazer nada sem os Gorgos.||Jibral can do nothing without the Gorgos.,Yibral no tiene nada que hacer sin los golgo.||
"Há muito lixo descartado aqui, é difícil andar por aí. Tenha cuidado."||"There's so much junk here, it's hard to walk around. Be careful.","Hay tanta chatarra tirada, que apenas se puede andar. Mucho cuidado."||
Estamos procurando por peças para consertar o Mechat abatido.||We're looking through this junk for parts to repair the downed mechat.,"Entre tanta chatarra, buscamos piezas que permitan reparar el mecóptero derribado."||
Lady Zola está na sala dos fundos.||Lady Zola is in the room at the back.,Zola se encuentra en la habitación trasera.||
"Felizmente, o único dano causado ao navio que derrubamos foi o nosso ataque."||"Fortunately, the only damage done to the ship we shot down was from our attack.","Por suerte, los únicos daños de la nave que derribamos los infligimos nosotros."||
"Depois do resgate, nós o desmontamos. Agora estamos analisando seu equipamento interno na sala dos fundos."||"After salvage, we took it apart. Now we are analyzing its internal equipment in the back room.","Después del salvamento, la desmontamos para analizar la maquinaria interna en la habitación trasera."||
Surprised? This is a machine called a mechat. We shot it down with a giant arrow.||Surprised? This is a machine called a mechat. We shot it down with a giant arrow.,¿Te sorprende? Esta máquina es un mecóptero. Lo derribamos con una flecha gigante.||
"Unfortunately, the arrow launcher was destroyed by the mother ship."||"Unfortunately, the arrow launcher was destroyed by the mother ship.","Por desgracia, la nave nodriza nos destruyó el lanzaflechas."||
That blue barrier is made from ancient technology. We're looking for a way to disable it.||That blue barrier is made from ancient technology. We're looking for a way to disable it.,Esa barrera azul está fabricada con tecnología ancestral. Aún no sabemos cómo desactivarla.||
"We looked through ancient books, and we found an odd technique called a Field Barrier."||"We looked through ancient books, and we found an odd technique called a Field Barrier.",Consultamos muchos libros ancestrales y hallamos una técnica denominada la barrera.||
It creates a barrier of light that can damage things. But you cannot gain experience by using it.||It creates a barrier of light that can damage things. But you cannot gain experience by using it.,"Con ella, se crea una barrera de luz que provoca daños, pero aunque la uses, no adquirirás experiencia."||
"You can only gain experience for your Shadow, your source of magic power... or so it is written."||"You can only gain experience for your Shadow, your source of magic power... or so it is written.","Sólo adquieres experiencia para tu sombra, tu fuente de poder mágico... O eso pone en los libros."||
The Eternal Engine is an ancient machine created with magic to run forever without using any fuel.||The Eternal Engine is an ancient machine created with magic to run forever without using any fuel.,El reactor eterno es una máquina ancestral diseñada con magia para que funcione eternamente sin combustible.||
The heart of that ship is stored ahead. Our future strategy hinges on it.||The heart of that ship is stored ahead. Our future strategy hinges on it.,El núcleo de esa nave está más adelante. Nuestra estrategia futura depende de eso.||
The energy created with the Eternal Engine could break apart the tsunami vortex.||The energy created with the Eternal Engine could break apart the tsunami vortex.,"Con la energía generada con el reactor eterno, se podría destruir el vórtice maremoto."||
"We're very patient, so when you find a mystery you can come back at any time."||"We're very patient, so when you find a mystery you can come back at any time.","Tenemos mucha paciencia. Si encontráis un objeto misterioso, volved por aquí."||
I am the king's chief chef. Everyone here is my assistant.||I am the king's chief chef. Everyone here is my assistant.,Soy el gran chef real y todos estos trabajan para mí.||
I am the chief chef's first assistant. I can cook as perfectly as my master.||I am the chief chef's first assistant. I can cook as perfectly as my master.,Soy el primer pinche del gran chef y cocino igual de bien que mi maestro.||
I am the chief chef's second assistant. We all seem to resemble him eventually.||I am the chief chef's second assistant. We all seem to resemble him eventually.,"Soy el segundo pinche del gran chef. Al final, todos acabamos pareciéndonos a él."||
I'm just an assistant here. But even I ended up looking like the chief chef.||I'm just an assistant here. But even I ended up looking like the chief chef.,"Aunque soy un mero pinche, hasta yo he acabado pareciéndome al gran chef."||
"The longer they work here, the more they resemble him. I try to avoid here as much as possible."||"The longer they work here, the more they resemble him. I try to avoid here as much as possible.","Cuanto más trabajan aquí, más se parecen a él. Si puedo evitarlo, prefiero no venir."||
"The king is expecting a lot from magic, but I don't have a lot of faith in it."||"The king is expecting a lot from magic, but I don't have a lot of faith in it.","Por mucho que espere el rey de la magia, a mí no me inspira mucha confianza."||
Take your trivial questions to the senior minister. I am very busy.||Take your trivial questions to the senior minister. I am very busy.,"Esas cuestiones triviales, al gran ministro, que yo tengo mucho trabajo."||
Come see me again.||Come see me again.,Ven a verme otro día.||
"What, you're leaving already?"||"What, you're leaving already?","¿Cómo, ya te marchas?"||
"Hey, it's the dog lover! Why are you here in the castle?"||"Hey, it's the dog lover! Why are you here in the castle?",¡El amante de los perros! ¿Qué haces en el castillo?||
Ho ho ho. I am a minister here in Jibral.||Ho ho ho. I am a minister here in Jibral.,"Ja, ja, ja. Soy ministro de Yibral."||
Say hi to the girl and the puppy.||Say hi to the girl and the puppy.,Saluda a la chica y al cachorrito.||
They sure can eat!||They sure can eat!,¡Comen como limas!||
The people from Talta have finished eating and have returned to Castle Town.||The people from Talta have finished eating and have returned to Castle Town.,Los de Talta han terminado de comer y han regresado a la ciudad del castillo.||
"To get to the town, go through these doors."||"To get to the town, go through these doors.","Por estas puertas, se va a la ciudad."||
You're free to come and go as you please.||You're free to come and go as you please.,Podéis moveros con total libertad.||
We're currently discussing important strategy.||We're currently discussing important strategy.,Estamos planteando una importante estrategia.||
I cannot say what it is.||I cannot say what it is.,No puedo desvelar de qué se trata.||
The people from Talta have gone home already.||The people from Talta have gone home already.,Los habitantes de Talta han regresado a casa.||
I wonder if we'll get a raise.||I wonder if we'll get a raise.,¿Nos subirán el sueldo?||
There have been a lot of monsters lately.||There have been a lot of monsters lately.,"Últimamente, hay muchos monstruos."||
"If you're going upstairs, mind your manners as you go."||"If you're going upstairs, mind your manners as you go.","Si vas a subir, cuida tus modales por el camino."||
Isn't this a wonderful garden?||Isn't this a wonderful garden?,¿A que es un jardín precioso?||
Isn't this a wonderful garden?||Isn't this a wonderful garden?,¿A que es un jardín precioso?||
Lady Zola is out. She said she was going to the basement lab.||Lady Zola is out. She said she was going to the basement lab.,La capitán Zola se ha marchado al laboratorio del sótano.||
This is Minister Jonveeno's quarters. Please be polite.||This is Minister Jonveeno's quarters. Please be polite.,"Hay que comportarse, que estamos en el gabinete del ministro Yonvino."||
The central garden is ahead.||The central garden is ahead.,El jardín central está más adelante.||
The central garden is ahead.||The central garden is ahead.,El jardín central está más adelante.||
This is the senior minister's quarters. Please be polite.||This is the senior minister's quarters. Please be polite.,"Hay que comportarse, que estamos en el gabinete del gran ministro."||
This is the Blademasters' waiting quarters.||This is the Blademasters' waiting quarters.,Esta es la antesala para los Maestros de espada.||
"Hey, I heard you're going to participate in the strategy."||"Hey, I heard you're going to participate in the strategy.",Me he enterado de que vas a participar en la estrategia.||
Beyond this door is the throne room..||Beyond this door is the throne room..,El salón del trono está detrás de esta puerta.||
This is the throne room.||This is the throne room.,Este es el salón del trono.||
This is the throne room.||This is the throne room.,Este es el salón del trono.||
This is the throne room.||This is the throne room.,Este es el salón del trono.||
Please go on through.||Please go on through.,"Por favor, adelante."||
This is the lounge.||This is the lounge.,La sala de estar.||
Isn't it magnificent! This is the king's horse.||Isn't it magnificent! This is the king's horse.,¿A que es una maravilla? El corcel del rey.||
That big one is a Gorgo. They're used as soldiers in Jibral.||That big one is a Gorgo. They're used as soldiers in Jibral.,"Ese grandullón es un golgo. En Yibral, luchan como soldados."||
It's time for a break.||It's time for a break.,Vamos a descansar.||
I wonder if we'll get more breaks.||I wonder if we'll get more breaks.,¿Nos darán más descansos?||
Even soldiers need breaks.||Even soldiers need breaks.,Los soldados también necesitan descansar.||
"If you're going upstairs, use the main staircase ahead of you."||"If you're going upstairs, use the main staircase ahead of you.","Si vas a subir, ve por la escalera principal que tienes delante."||
I've fulfilled my dream of becoming a Jibral soldier.||I've fulfilled my dream of becoming a Jibral soldier.,Por fin he cumplido mi sueño de ser soldado de Yibral.||
You can go down to the Great Hall through this door.||You can go down to the Great Hall through this door.,"Por esta puerta, se llega al salón regio."||
You can go down to the Great Hall through this door.||You can go down to the Great Hall through this door.,"Por esta puerta, se llega al salón regio."||
Have you seen the lab?||Have you seen the lab?,¿Habéis visto el laboratorio?||
The king returned to his quarters.||The king returned to his quarters.,El rey ha regresado a sus aposentos.||
You can get to the basement lab through this door.||You can get to the basement lab through this door.,Esta puerta da al laboratorio del sótano.||
This is the soldiers' waiting quarters.||This is the soldiers' waiting quarters.,Esta es la antesala para los soldados.||
The lab is ahead. Please be quiet.||The lab is ahead. Please be quiet.,El laboratorio está ahí delante. Silencio.||
Lady Zola!||Lady Zola!,¡Capitán Zola!||
Lady Zola!||Lady Zola!,¡Capitán Zola!||
What?||What?,¿Qué?||
"Take a walk about Jibral if you like. When you get tired, stop in at the inn. "||"Take a walk about Jibral if you like. When you get tired, stop in at the inn. ","Recorred Yibral a vuestro aire. Cuando os canséis, hospedaos en la posada. "||
Have you seen the lab?||Have you seen the lab?,¿Habéis visto el laboratorio?||
The king is in his quarters.||The king is in his quarters.,El rey está en sus aposentos.||
Lady Zola has returned to her quarters.||Lady Zola has returned to her quarters.,Zola ha regresado a sus aposentos.||
"I will leave war to men. Of course, there are women who are stronger than men."||"I will leave war to men. Of course, there are women who are stronger than men.","La guerra, para los hombres. Aunque hay mujeres más fuertes que los hombres."||
To burst in here when I'm balancing the books! Nene knows nothing of economy.||To burst in here when I'm balancing the books! Nene knows nothing of economy.,¡Interrumpirme cuando estoy cuadrando las cuentas! Nené no sabe nada de economía.||
I think my virtue is why children and dogs like me so much... Hah hah!||I think my virtue is why children and dogs like me so much... Hah hah!,"Los niños y los perros me adoran por mi virtud... Ja, ja."||
"Don't worry, I'll take care of the dog. Now then, to the roof! The king is waiting."||"Don't worry, I'll take care of the dog. Now then, to the roof! The king is waiting.","No pasa nada, yo me ocupo del perro. A la azotea, que el rey aguarda."||
"Take this with you, then. It might be of some help."||"Take this with you, then. It might be of some help.",Pues llevaos esto. Quizá os sirva en alguna ocasión.||
"Don't worry, I'll take care of the dog. Now then, to the roof! The king is waiting."||"Don't worry, I'll take care of the dog. Now then, to the roof! The king is waiting.","No pasa nada, yo me ocupo del perro. A la azotea, que el rey aguarda."||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
Not used||Not used,Sin usar||
They're busy preparing the second and third floors so don't get in the way.||They're busy preparing the second and third floors so don't get in the way.,"Están preparando las plantas segunda y tercera, así que intentad no estorbar mucho."||
"Hey, you made it. The king is waiting on the roof."||"Hey, you made it. The king is waiting on the roof.","Vaya, habéis llegado. El rey aguarda en la azotea."||
Not used||Not used,Sin usar||
Both the king and Lady Zola are out on the roof.||Both the king and Lady Zola are out on the roof.,El rey y la capitán Zola están en la azotea.||
It's time to battle the tsunami vortex!||It's time to battle the tsunami vortex!,¡Ha llegado la hora de plantarle cara al vórtice maremoto!||
"Please, go over to the king. The central garden is full with people from the Aerial Troops."||"Please, go over to the king. The central garden is full with people from the Aerial Troops.",Id junto al rey. El jardín central está abarrotado de profesionales del escuadrón aéreo.||
"Please, go over to the king. The central garden is full with people from the Aerial Troops."||"Please, go over to the king. The central garden is full with people from the Aerial Troops.",Id junto al rey. El jardín central está abarrotado de profesionales del escuadrón aéreo.||
"It's dangerous, so hide somewhere."||"It's dangerous, so hide somewhere.",Corréis peligro. Escondeos.||
The Blademasters are already heading for the roof.||The Blademasters are already heading for the roof.,Los Maestros de espada ya se dirigen a la azotea.||
Those are Jibral's Aerial Troops. They are air-fighting professionals!||Those are Jibral's Aerial Troops. They are air-fighting professionals!,Los asaltantes aéreos de Yibral. ¡Son unos profesionales del ejército del aire!||
The king awaits you on the roof!||The king awaits you on the roof!,¡El rey aguarda en la azotea!||
The king awaits you on the roof!||The king awaits you on the roof!,¡El rey aguarda en la azotea!||
"Why are you here? Hurry up, to the roof!"||"Why are you here? Hurry up, to the roof!","¿Qué hacéis aquí? ¡A la azotea, deprisa!"||
Leave the throne room to us. Hurry up to the roof!||Leave the throne room to us. Hurry up to the roof!,Nosotros nos encargamos del salón del trono. ¡Corred a la azotea!||
What is this...? This sudden chill. Is it because of that strange purple cloud?||What is this...? This sudden chill. Is it because of that strange purple cloud?,¿Y este...? Este frío tan repentino. ¿Será por esa extraña nube púrpura?||
The one at the front of the left line is my younger brother. I hope he doesn't try to show off.||The one at the front of the left line is my younger brother. I hope he doesn't try to show off.,El primero de la fila izquierda es mi hermano pequeño. Espero que no intente dárselas de chulo.||
You made it. The king is waiting on the roof.||You made it. The king is waiting on the roof.,Has llegado. El rey aguarda en la azotea.||
You made it. The king is waiting on the roof.||You made it. The king is waiting on the roof.,Has llegado. El rey aguarda en la azotea.||
We are Jibral's air forces. We've trained for this day.||We are Jibral's air forces. We've trained for this day.,Somos la fuerza aérea de Yibral y nos han entrenado para este día.||
It's about to start... Who are we going to fight?||It's about to start... Who are we going to fight?,Está a punto de empezar... ¿A quiénes nos enfrentamos?||
We're boarding a balloon from the central garden.||We're boarding a balloon from the central garden.,Vamos a abordar un globo que hay en el jardín central.||
We're finally putting the long years of the king's plans into action. You should go up to the roof.||We're finally putting the long years of the king's plans into action. You should go up to the roof.,"Después de tantos años, por fin vamos a llevar a cabo los planes del rey. Subid a la azotea."||
Leave this to us. You should go up to the roof.||Leave this to us. You should go up to the roof.,Nosotros nos encargamos. Vosotros subid a la azotea.||
"I'm so nervous, my heart's about to explode! But I will fight bravely."||"I'm so nervous, my heart's about to explode! But I will fight bravely.","Tengo tantos nervios que el corazón se me va a salir, pero lucharé con valentía."||
Nothing can defeat us in the air. We are Jibral's Aerial Troops.||Nothing can defeat us in the air. We are Jibral's Aerial Troops.,Nadie nos derrotará en el aire. Somos el escuadrón aéreo de Yibral.||
"First time I've seen you kids. You're the magic-users, aren't you?"||"First time I've seen you kids. You're the magic-users, aren't you?","No os había visto antes. Sois los niños con los poderes mágicos, ¿a que sí?"||
Hic! I joined in a toast a little while ago. Ha ha!||Hic! I joined in a toast a little while ago. Ha ha!,"¡Hip! Hemos brindado hace un ratito. ¡Ja, ja!"||
Don't worry. We have trained day in and day out for this moment.||Don't worry. We have trained day in and day out for this moment.,No pasa nada. Hace años que nos preparamos para este momento.||
Our plan will succeed! It must!||Our plan will succeed! It must!,¡Nuestro plan dará resultado! ¡Seguro!||
The future is in our hands! Failure is not an option.||The future is in our hands! Failure is not an option.,¡El futuro está en nuestra mano! El fracaso no es una opción.||
