"placa metálica, balde e tubo"("metal plate, bucket, and pipe","placa metálica, cubo y tubo",5379)
2 bolsas(2 bags,2 bolsas)
vaso de flores(flowerpot,maceta)
cama dobrável(folding bed,cama plegable)
comida(food,comida)
árvore frutífera(fruit tree,árbol frutal)
fruta(fruit,fruta)
móvel(furniture,mueble)
espaço entre as máquinas(gap between the machines,hueco entre las máquinas)
espaço(gap,hueco)
portão(gate,portón)
monte de pedrinhas(gathered pebbles,montón de guijarros)
medidor e painel de controle(gauge and control panel,indicador y panel de mando)
caixa de cristal(glass case,funda de cristal)
solo brilhante(glowing floor,suelo fulgente)
máquina brilhante(glowing machine,máquina fulgente)
objeto brilhante(glowing object,objeto fulgente)
painel brilhante(glowing panel,panel fulgente)
planta vermelha brilhante(glowing red plant,planta roja fulgente)
seiva brilhante(glowing sap,savia fulgente)
mercadorias(goods,mercancías)
herva(grass,hierba)
grade(grate,rejilla)
tumba(grave,tumba)
escudo verde(green shield,escudo verde)
guitarra(guitar,guitarra)
martelo e mesa de trabalho(hammer and worktable,martillo y mesa de trabajo)
martelo(hammer,martillo)
cabideiro(hanger rack,perchero)
arpão(harpoon,arpón)
machadinha(hatchet,hachuela)
elmo e bolsa(helmet and bag,casco y bolsa)
elmo(helmet,casco)
orifício no chão(hole in the ground,orificio en el suelo)
orifício na árvore(hole in the tree,orificio en el árbol)
orifício na parede(hole in the wall,orificio en la pared)
orifício(hole,orificio)
buraco(hollow,hoyo)
janela de casa(home's window,ventana de casa)
chifre(horn,cuerno)
mangueira no chão(hose on the floor,manguera en el suelo)
mangueira(hose,manguera)
janela da casa(house's window,ventana de la casa)
planta de casa(houseplant,planta de interior)
bala enorme(huge bullet,bala enorme)
maça enorme(huge mace,maza enorme)
tridente enorme(huge trident,tridente enorme)
monte de gelo(ice mound,montón de hielo)
dentro de uma árvore morta(inside of a dead tree,interior de árbol marchito)
instrumento(instrument,instrumento)
estrutura de ferro(iron frame,estructura de hierro)
placa de ferro e caixa de madeira(iron plate and wooden box,placa de hierro y caja de madera)
placa de ferro(iron plate,placa de hierro)
espetinho(kebab,pincho moruno)
forno(kiln,horno)
bancada de cozinha(kitchen counter,encimera)
utensílios de cozinha(kitchen utensils,utensilios de cocina)
cozinha(kitchen,cocina)
faca(knife,cuchillo)
escada(ladder,escalera)
concha(ladle,cazo)
lâmpada(lamp,lámpara)
lanterna e bolsa(lantern and bag,farol y bolsa)
lanterna e vaso(lantern and vase,farol y jarrón)
ventilador grande(large fan,ventilador grande)
espada grande(large sword,espada grande)
tábua grande(large wood,tabla grande)
emissor laser(laser emitter,emisor láser)
lâmpada(light stand,lámpara)
interruptor de luz(light switch,interruptor de la luz)
luz(light,luz)
lagosta(lobster,langosta)
tronco do poste da ponte(log from the bridge post,tronco del poste del puente)
braço mecânico(machine arm,brazo mecánico)
máquina embutida na parede(machine embedded in the wall,máquina incrustada en la pared)
máquina na parede(machine on the wall,máquina en la pared)
máquina com botões(machine with buttons,máquina con botones)
máquina(machine,máquina)
maquinaria(machinery,maquinaria)
bueiro(manhole,alcantarilla)
muitos livros(many books,muchos libros)
muitos vasos de flores(many flowerpots,muchas macetas)
mapa(map,mapa)
máscara(mask,máscara)
tapete(mat,tapete)
prato de carne(meat dish,plato de carne)
carne(meat,carne)
mecóptero(mechat,mecóptero)
instrumento médico(medical instrument,instrumental médico)
quadro de anotações(memo board,tablón de notas)
menu(menu,menú)
cama desfeita(messy bed,cama deshecha)
barra metálica(metal bar,barra metálica)
barril metálico(metal barrel,barril metálico)
microfone(microphone,micrófono)
caixa de leite(milk can,envase de leche)
mirror(mirror,espejo)
monitor(monitor,monitor)
monte(mound,montón)
arma acoplada(mounted weapon,arma acoplada)
mural(mural,mural)
cogumelo(mushroom,champiñón)
focinheira(muzzle,bozal)
rede(net,red)
anúncio(notice,anuncio)
observatório(observatory,observatorio)
mesa de escritório(office desk,mesa de oficina)
machado velho(old axe,hacha vieja)
escudo velho(old shield,escudo viejo)
lança velha(old spear,lanza vieja)
caixa de madeira aberta(open wooden box,caja de madera abierta)
tomada(outlet,enchufe)
forno(oven,horno)
pacote(package,paquete)
quadro(painting,cuadro)
palmeira(palm tree,palmera)
painel perto da porta(panel next to the door,panel junto a la puerta)
painel(panel,panel)
guarda-sol(parasol,sombrilla)
partição(partition,partición)
peças(parts,piezas)
assento do passageiro(passenger seat,asiento de pasajero)
pasto(pasture,prado)
pedrinhas(pebbles,guijarros)
piano(piano,piano)
picareta(pickaxe,pico)
picles(pickle,pepinillo)
moldura(picture frame,marco de foto)
peça de balão de ar quente(piece of hot-air balloon,pieza de globo aerostático)
pilha de bolsas(pile of bags,montón de bolsas)
pilha de barris(pile of barrels,montón de barriles)
pilha de livros(pile of books,montón de libros)
pilar(pillar,pilar)
almofada(pillow,almohada)
tubo de maquinaria antiga(pipe from ancient machinery,tubo de maquinaria ancestral)
tubo da maquinaria antiga(pipe from the ancient machinery,tubo de la maquinaria ancestral)
tubo próximo(pipe near you,tubo cercano)
tubo com válvula(pipe with a valve,tubo con válvula)
tubo(pipe,tubo)
tubos e barril(pipes and barrel,tubos y barril)
tubos(pipes,tubos)
pistão(piston,pistón)
jarro e um recipiente pequeno(pitcher and small container,jarra y recipiente pequeño)
jarro e vaso(pitcher and vase,jarra y jarrón)
jarro(pitcher,jarra)
tábua(plank,tabla)
planta e decoração(plant and decoration,plata y decoración)
planta(plant,planta)
placa(plate,placa)
plataforma(platform,plataforma)
pedra pontuda(pointy rock,roca afilada)
mastro(pole,mástil)
banco de lago(pond bank,banco de estanque)
lago(pond,estanque)
retrato do Rei Jibral(portrait of King Jibral,retrato del rey Yibral)
retrato da Kluke(portrait of Kluke,retrato de Kluke)
poste(post,poste)
caixa postal(postbox,buzón)
cartão postal(postcard,postal)
pote(pot,olla)
vaso de planta(potted plant,planta en tiesto)
fonte de energia(power supply,suministro eléctrico)
projeção(projection,proyección)
abóbora(pumpkin,calabaza)
flor roxa(purple flower,flor púrpura)
flor vermelha(red flower,flor roja)
fruta vermelha(red fruit,fruta roja)
escudo vermelho(red shield,escudo rojo)
quadro de reforço(reinforcement board,tablero de refuerzo)
restos de uma fogueira(remains of a campfire,restos de una fogata)
restos de uma cabana(remains of a hut,restos de una cabaña)
margem do rio(riverbank,ribera)
assado(roast beef,asado)
pedra(rock,roca)
pedras(rocks,rocas)
roupa enrolada(rolled cloth,tela enrollada)
manta enrolada(rolled-up blanket,manta enrollada)
rolo de massa(rolling pin,rodillo)
raízes(roots,raíces)
corda e armadilha(rope and trap,cuerda y trampa)
poste da ponte de corda(rope bridge post,poste del puente de cuerda)
corda(rope,cuerda)
cadeira redonda(round chair,silla redonda)
tapete(rug,alfombra)
ruínas(ruin,ruinas)
serra(saw,sierra)
espantalho(scarecrow,espantapájaros)
livros espalhados(scattered books,libros esparcidos)
escultura(sculpture,escultura)
tempero(seasoning,condimento)
estante sobre a cadeira(shelf above the chair,estante sobre la silla)
estante e 2 tubos(shelf and 2 pipes,estante y 2 tubos)
estante e ferramentas(shelf and tools,estante y herramientas)
estante(shelf,estante)
estante e elmo(shield and helmet,escudo y casco)
escudo na parede(shield on the wall,escudo en la pared)
escudo(shield,escudo)
pá(shovel,pala)
vitrine(showcase,vitrina)
arbusto(shrub,matorral)
persiana(shutter,persiana)
lateral do enfeite(side of the decoration,lateral del adorno)
sinal(sign,señal)
sinal luminoso(signal light,señal luminosa)
pia(sink,fregadero)
trenó(sled,trineo)
saco de dormir(sleeping bag,saco de dormir)
pequena caixa azul(small blue box,caja azul pequeña)
pequena caixa(small box,caja pequeña)
pequeno recipiente(small container,recipiente pequeño)
pequena cratera(small crater,cráter pequeño)
pequena gaveta(small drawer,cajón pequeño)
pequeno ventilador(small fan,ventilador pequeño )
pequenos objetos(small objects,objetos pequeños)
pequena estante(small shelf,estante pequeño)
pequena mesa(small table,mesa pequeña)
pequeno balde(small tub,barreño pequeño)
pequeno vaso(small vase,jarrón pequeño)
pequena caixa de madeira(small wooden box,caja de madera pequeña)
monte de neve(snow pile,montón de nieve)
neve(snow,nieve)
boneco de neve(snowman,muñeco de nieve)
sofá(sofa,sofá)
sopa(soup,sopa)
espaço entre as pedras(space between the stones,hueco entre las piedras)
espaço embaixo da cama(space under the bed,hueco bajo la cama)
espaço embaixo do banco(space under the bench,hueco bajo el banco)
espaço embaixo da cadeira(space under the chair,hueco bajo la silla)
lança(spear,lanza)
roda com espinhos(spiked wheel,rueda con pinchos)
estábulo(stable,establo)
pilha de caixas de madeira(stack of wooden boxes,pila de cajas de madera)
escadas(stairs,escaleras)
de pé(stand,pie)
estátua(statue,estatua)
elmo de aço(steel helmet,casco de acero)
roda de aço(steel wheel,rueda de acero)
escadinha(stepladder,escalera de mano)
guisado e fogão(stew and stove,guiso y fogón)
lâmpada de pedra(stone lamp,lámpara de piedra)
monumento de pedra(stone monument,monumento de piedra)
pedra(stone,piedra)
depósito(storage,almacén)
fogão(stove,fogón)
peneira(strainer,colador)
tubo estranho(strange pipe,tubo extraño)
cadeeiro(streetlight,farola)
maleta(suitcase,maleta)
pedra de apoio(support stone,piedra de apoyo)
interruptor(switch,interruptor)
central telefônica(switchboard,centralita)
espada sobre a cadeira(sword above the chair,espada sobre la silla)
espada(sword,espada)
mesa e cadeiras(table and chairs,mesa y sillas)
mesa(table,mesa)
superfície da mesa(tabletop,superficie de mesa)
tabuleiro(tabletop,tablero)
louça(tableware set,vajilla)
tanque(tank,tanque)
torta(tart,tarta)
jogo de chá(tea set,juego de té)
tábua provisória(temporary floorboard,tabla temporal)
estaca da tenda(tent stake,piqueta)
terrina(terrine,terrina)
tubo fino(thin pipe,tubo fino)
ponta da torre de vigia(tip of the watchtower,vértice de la atalaya)
banheiro(toilet,retrete)
pinças(tongs,pinzas)
caixa de ferramentas(tool box,caja de herramientas)
organizador(tool rack,organizador)
depósito de ferramentas(tool storage,almacén de herramientas)
ferramentas e balde grande(tools and big tub,herramientas y barreño grande)
superfície da estante(top of the shelf,superficie del estante)
pedestal de tocha(torch pedestal,pedestal de antorcha)
tocha(torch,antorcha)
toalheiro(towel hanger,toallero)
toalha(towel,toalla)
caixa de brinquedos(toy box,caja de juguetes)
trator(tractor,tractor)
bandeja(tray,bandeja)
baú de tesouro(treasure chest,cofre del tesoro)
árvore e pedrinhas(tree and pebbles,árbol y guijarros)
raiz de árvore(tree root,raíz de árbol)
raízes de árvore(tree roots,raíces de árbol)
árvore(tree,árbol)
truta(trout,trucha)
balde(tub,barreño)
túnel(tunnel,túnel)
peru(turkey,pavo)
debaixo da ponte(underside of the bridge,debajo del puente)
prato sem terminar(unfinished dish,plato sin terminar)
peças desconhecidas(unknown parts,piezas desconocidas)
vaso e bolsa(vase and bag,jarrón y bolsa)
vaso e balde(vase and bucket,jarrón y cubo)
vaso e estante(vase and shelf,jarrón y estante)
vaso e peneira(vase and strainer,jarrón y colador)
vaso e caixa de madeira(vase and wooden box,jarrón y caja de madera)
vaso com uma arma(vase holding a weapon,jarrón con un arma)
vaso na estante(vase on the shelf,jarrón en el estante)
vaso com uma vassoura dentro(vase with a broom inside,jarrón con una escoba dentro)
vaso com um pergaminho dentro(vase with a scroll inside,jarrón con un pergamino)
vaso(vase,jarrón)
verdura(vegetable,verdura)
respiradouro(vent,respiradero)
orifício de ventilação(ventilation hole,orificio de ventilación)
ventilador(ventilator,ventilador)
decoração de parede(wall decoration,decoración de muro)
painel de parede(wall panel,panel de pared)
estante de parede(wall shelf,estante de pared)
superfície da parede(wall surface,superficie de la pared)
parede(wall,muro)
carteira(wallet,cartera)
guarda-roupa(wardrobe,ropero)
lavanderia(washing space,lavadero)
posto de fonte de água(water fountain post,poste de fuente)
fonte de água(water fountain,fuente)
nascedouro de cascata(waterfall basin,poza de catarata)
regador e caixa de madeira(watering can and wooden box,regadera y caja de madera)
roda hidráulica(waterwheel,rueda hidráulica)
estante de armas(weapon rack,armero)
arma(weapon,arma)
estranho metal(weird metal,metal extraño)
tampa de poço(well lid,tapa de pozo)
poço(well,pozo)
roda(wheel,rueda)
carrinho de mão(wheelbarrow,carretilla)
quadro-negro(whiteboard,pizarra)
torno(winch,torno)
posto de moinho(windmill post,poste de molino)
poço de moinho(windmill well,pozo de molino)
janela(window,ventana)
garrafa de vinho(wine bottle,botella de vino)
madeira(wood,madera)
banco de madeira(wooden bench,banco de madera)
caixa de madeira e bolsa(wooden box and bag,caja de madera y bolsa)
caixa de madeira e barril(wooden box and barrel,caja de madera y barril)
caixa de madeira e barril(wooden box and barrel,caja y barril de madera)
caixa de madeira e outros objetos(wooden box and other objects,caja de madera y otros objetos)
caixa de madeira e tubos(wooden box and pipes,caja de madera y tubos)
caixa de madeira e bacia(wooden box and tub,caja de madera y barreño)
caixa de madeira e balde(wooden box and tub,caja y balde de madera)
caixa de madeira detrás da cerca(wooden box inside of the fence,caja de madera detrás de la valla)
caixa de madeira com alça(wooden box with a handle,caja de madera con asa)
caixa de madeira com tampa aberta(wooden box with open lid,caja de madera con tapa abierta)
caixa de madeira(wooden box,caja de madera)
caixas de madeira(wooden boxes,cajas de madera)
recipiente de madeira(wooden container,contenedor de madera)
cobertura de madeira(wooden cover,cubierta de madera)
estatueta de madeira(wooden figurine,figurita de madera)
mesa de trabalho e caixa de madeira(worktable and wooden box,mesa de trabajo y caja de madera)
mesa de trabalho(worktable,mesa de trabajo)
restos(wreckage,restos)
flor amarela(yellow flower,flor amarilla)
